proveedor,archivo,rut_empresa,numero_cuenta,numero_boleta,fecha_emision,periodo_facturado,consumo_total_m3,iva,total_a_pagar,vencimiento,estado,monto_periodo,consumo_total,fecha_vencimiento
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202207.pdf,61.808.000-5,,,,,,,,25-JUL-2022,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202208.pdf,61.808.000-5,,,,,,,,25-AGO-2022,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202209.pdf,61.808.000-5,2392497-8,221235189,03-SEP-2022,02-09-2022,1084.67,10.0,12.0,26-SEP-2022,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202210.pdf,61.808.000-5,2392497-8,223111541,03-OCT-2022,03-10-2022,1044.35,10.0,12.0,24-OCT-2022,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202211.pdf,61.808.000-5,2392497-8,225008841,03-NOV-2022,02-11-2022,900.45,878582.0,10.0,24-NOV-2022,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202212.pdf,61.808.000-5,2392497-8,226878423,02-DIC-2022,02-12-2022,1009.36,984766.0,11.0,26-DIC-2022,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202301.pdf,61.808.000-5,2392497-8,228795838,02-ENE-2023,02-01-2023,810.6,796355.0,947663.0,25-ENE-2023,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202302.pdf,61.808.000-5,2392497-8,231927586,02-FEB-2023,02-02-2023,934.85,918318.0,10.0,22-FEB-2023,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202303.pdf,61.808.000-5,2392497-8,234053725,03-MAR-2023,02-03-2023,693.21,692130.0,823635.0,27-MAR-2023,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202304.pdf,61.808.000-5,2392497-8,236007108,02-ABR-2023,02-04-2023,787.33,786008.0,935350.0,24-ABR-2023,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202305.pdf,61.808.000-5,2392497-8,237891797,03-MAY-2023,03-05-2023,1061.62,10.0,12.0,25-MAY-2023,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202306.pdf,61.808.000-5,2392497-8,239847528,02-JUN-2023,02-06-2023,1006.81,10.0,11.0,23-JUN-2023,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202307.pdf,61.808.000-5,2392497-8,241771750,03-JUL-2023,03-07-2023,1236.81,12.0,14.0,25-JUL-2023,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202308.pdf,61.808.000-5,2392497-8,243621247,02-AGO-2023,02-08-2023,1270.44,12.0,15.0,24-AGO-2023,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202309.pdf,61.808.000-5,2392497-8,245645828,02-SEP-2023,02-09-2023,1179.31,11.0,14.0,25-SEP-2023,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202310.pdf,61.808.000-5,2392497-8,247559291,03-OCT-2023,03-10-2023,1225.76,12.0,14.0,24-OCT-2023,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202311.pdf,61.808.000-5,2392497-8,249556896,03-NOV-2023,03-11-2023,1109.27,11.0,13.0,24-NOV-2023,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202312.pdf,61.808.000-5,1896694-8,251456994,02-DIC-2023,02-12-2023,545.38,544681.0,648170.0,22-DIC-2023,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202401.pdf,61.808.000-5,2392497-8,253414874,02-ENE-2024,02-01-2024,909.81,908172.0,10.0,23-ENE-2024,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202402.pdf,61.808.000-5,2392497-8,255295817,02-FEB-2024,02-02-2024,836.25,848397.0,10.0,22-FEB-2024,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202403.pdf,61.808.000-5,1896694-8,257503607,02-MAR-2024,02-03-2024,364.45,370155.0,440484.0,21-MAR-2024,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202404.pdf,61.808.000-5,2392497-8,259432629,02-ABR-2024,02-04-2024,869.76,882365.0,10.0,20-ABR-2024,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202405.pdf,61.808.000-5,2392497-8,261607782,02-MAY-2024,02-05-2024,1031.31,10.0,12.0,22-MAY-2024,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202406.pdf,61.808.000-5,2392497-8,263527193,02-JUN-2024,02-06-2024,1088.26,11.0,13.0,21-JUN-2024,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202407.pdf,61.808.000-5,2392497-8,265583754,02-JUL-2024,02-07-2024,1382.56,14.0,16.0,22-JUL-2024,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202408.pdf,61.808.000-5,2392497-8,267556361,02-AGO-2024,02-08-2024,1464.72,14.0,17.0,21-AGO-2024,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202409.pdf,61.808.000-5,2392497-8,269530361,02-SEP-2024,02-09-2024,1255.45,12.0,15.0,21-SEP-2024,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202410.pdf,61.808.000-5,2392497-8,271478992,02-OCT-2024,02-10-2024,1224.63,12.0,15.0,22-OCT-2024,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202411.pdf,61.808.000-5,2392497-8,273548365,02-NOV-2024,02-11-2024,1060.26,11.0,13.0,21-NOV-2024,OK,,,
