archivo_pdf,empresa,nro_documento,total_a_pagar,id_cliente,fecha_emision,fecha_vencimiento,consumo_periodo,estado
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202305.pdf,Aguas Andinas,,,2392497-8,03-MAY-2023,25-MAY-2023,106162 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202306.pdf,Aguas Andinas,,,2392497-8,02-JUN-2023,23-JUN-2023,100681 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202307.pdf,Aguas Andinas,,,2392497-8,03-JUL-2023,25-JUL-2023,123681 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202308.pdf,Aguas Andinas,,,2392497-8,02-AGO-2023,24-AGO-2023,127044 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202309.pdf,Aguas Andinas,,,2392497-8,02-SEP-2023,25-SEP-2023,117931 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202310.pdf,Aguas Andinas,,,2392497-8,03-OCT-2023,24-OCT-2023,122576 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202311.pdf,Aguas Andinas,,,2392497-8,03-NOV-2023,24-NOV-2023,110927 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202312.pdf,Aguas Andinas,,,1896694-8,02-DIC-2023,22-DIC-2023,54538 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202401.pdf,Aguas Andinas,,,2392497-8,02-ENE-2024,23-ENE-2024,90981 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202402.pdf,Aguas Andinas,,,2392497-8,02-FEB-2024,22-FEB-2024,83625 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202403.pdf,Aguas Andinas,,,1896694-8,02-MAR-2024,21-MAR-2024,36445 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202404.pdf,Aguas Andinas,,5,2392497-8,02-ABR-2024,20-ABR-2024,86976 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202405.pdf,Aguas Andinas,,,2392497-8,02-MAY-2024,22-MAY-2024,103131 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202406.pdf,Aguas Andinas,,,2392497-8,02-JUN-2024,21-JUN-2024,108826 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202407.pdf,Aguas Andinas,,,2392497-8,02-JUL-2024,22-JUL-2024,138256 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202408.pdf,Aguas Andinas,,,2392497-8,02-AGO-2024,21-AGO-2024,146472 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202409.pdf,Aguas Andinas,,,2392497-8,02-SEP-2024,21-SEP-2024,125545 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202410.pdf,Aguas Andinas,,,2392497-8,02-OCT-2024,22-OCT-2024,122463 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202411.pdf,Aguas Andinas,,,2392497-8,02-NOV-2024,21-NOV-2024,106026 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202412.pdf,Aguas Andinas,,,2392497-8,02-DIC-2024,21-DIC-2024,124719 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202501.pdf,Aguas Andinas,,,2392497-8,02-ENE-2025,22-ENE-2025,85296 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202502.pdf,Aguas Andinas,,1,2392497-8,02-FEB-2025,20-FEB-2025,97703 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202503.pdf,Aguas Andinas,,,2392497-8,03-MAR-2025,21-MAR-2025,78158 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202504.pdf,Aguas Andinas,,,2392497-8,02-ABR-2025,22-ABR-2025,114966 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202505.pdf,Aguas Andinas,,,2392497-8,02-MAY-2025,22-MAY-2025,93738 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202506.pdf,Aguas Andinas,,,2392497-8,02-JUN-2025,21-JUN-2025,137921 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202507.pdf,Aguas Andinas,,,2392497-8,02-JUL-2025,22-JUL-2025,1152.79 m3,PARCIAL
