archivo_pdf,empresa,nro_documento,total_a_pagar,id_cliente,fecha_emision,fecha_vencimiento,consumo_periodo,estado
ARGOMEDO_AGUAS_ANDINAS_CALDERA_201907.pdf,Aguas Andinas,,947400,2392497-8,02-JUL-2019,26-JUL-2019,1090.00400073 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_201908.pdf,Aguas Andinas,,1055110,2392497-8,02-AGO-2019,27-AGO-2019,1214.00445586 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_201909.pdf,Aguas Andinas,,993440,2392497-8,02-SEP-2019,25-SEP-2019,1143.00419526 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_201910.pdf,Aguas Andinas,,846650,2392497-8,02-OCT-2019,24-OCT-2019,974.00357496 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_201911.pdf,Aguas Andinas,,848390,2392497-8,02-NOV-2019,25-NOV-2019,976.00358231 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_201912.pdf,Aguas Andinas,,668590,2392497-8,03-DIC-2019,26-DIC-2019,769.00282253 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202001.pdf,Aguas Andinas,,631240,2392497-8,02-ENE-2020,24-ENE-2020,726 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202002.pdf,Aguas Andinas,,561860,2392497-8,02-FEB-2020,25-FEB-2020,627.00236999 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202003.pdf,Aguas Andinas,,529640,2392497-8,02-MAR-2020,24-MAR-2020,591.00223392 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202004.pdf,Aguas Andinas,,616070,2392497-8,02-ABR-2020,23-ABR-2020,685.00258923 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202005.pdf,Aguas Andinas,,654070,2392497-8,03-MAY-2020,25-MAY-2020,729.00275554 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202006.pdf,Aguas Andinas,,868850,2392497-8,02-JUN-2020,23-JUN-2020,970 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202007.pdf,Aguas Andinas,,842900,2392497-8,02-JUL-2020,24-JUL-2020,941.00355688 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202008.pdf,Aguas Andinas,,858120,2392497-8,02-AGO-2020,24-AGO-2020,958.00362114 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202009.pdf,Aguas Andinas,,933300,2392497-8,02-SEP-2020,24-SEP-2020,1042.00393865 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202010.pdf,Aguas Andinas,,881180,2392497-8,02-OCT-2020,26-OCT-2020,983.00371564 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202011.pdf,Aguas Andinas,,837530,2392497-8,03-NOV-2020,24-NOV-2020,935.00353420 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202012.pdf,Aguas Andinas,,660319,2392497-8,03-DIC-2020,24-DIC-2020,737.00278578 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202101.pdf,Aguas Andinas,,604112,2392497-8,02-ENE-2021,25-ENE-2021,675 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202102.pdf,Aguas Andinas,,552763,2392497-8,02-FEB-2021,23-FEB-2021,634.00251691 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202103.pdf,Aguas Andinas,,589809,2392497-8,03-MAR-2021,24-MAR-2021,659.00261616 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202104.pdf,Aguas Andinas,,676437,2392497-8,02-ABR-2021,26-ABR-2021,737.00300157 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202105.pdf,Aguas Andinas,,804803,2392497-8,03-MAY-2021,25-MAY-2021,877 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202106.pdf,Aguas Andinas,,959599,2392497-8,03-JUN-2021,23-JUN-2021,1041.27424078 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202107.pdf,Aguas Andinas,,952664,2392497-8,03-JUL-2021,26-JUL-2021,1033.74421011 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202108.pdf,Aguas Andinas,,1098679,2392497-8,04-AGO-2021,25-AGO-2021,1188.99484239 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202109.pdf,Aguas Andinas,,1073789,2392497-8,03-SEP-2021,24-SEP-2021,1125.07473463 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202110.pdf,Aguas Andinas,,990408,2392497-8,04-OCT-2021,25-OCT-2021,1037.65436674 m3,PARCIAL
